id,rank,title,worldwideLifetimeGross,domesticLifetimeGross,domestic,foreignLifetimeGross,foreign,year,cast,cast_link,nepos,pct_nepo
tt2488496,4,Star Wars: Episode VII - The Force Awakens,"$2,069,521,700","$936,662,225",45.3%,"$1,132,859,475",54.7%,2015,Carrie Fisher,/wiki/Carrie_Fisher,"['https://en.wikipedia.org/wiki/Eddie_Fisher_(singer)', 'https://en.wikipedia.org/wiki/Debbie_Reynolds']",0.46153846153846156
tt2488496,4,Star Wars: Episode VII - The Force Awakens,"$2,069,521,700","$936,662,225",45.3%,"$1,132,859,475",54.7%,2015,Adam Driver,/wiki/Adam_Driver,['https://en.wikipedia.org/wiki/Henry_Tucker_(Bermudian_politician)'],0.46153846153846156
tt2488496,4,Star Wars: Episode VII - The Force Awakens,"$2,069,521,700","$936,662,225",45.3%,"$1,132,859,475",54.7%,2015,Daisy Ridley,/wiki/Daisy_Ridley,['https://en.wikipedia.org/wiki/Arnold_Ridley'],0.46153846153846156
tt2488496,4,Star Wars: Episode VII - The Force Awakens,"$2,069,521,700","$936,662,225",45.3%,"$1,132,859,475",54.7%,2015,John Boyega,/wiki/John_Boyega,False,0.46153846153846156
tt2488496,4,Star Wars: Episode VII - The Force Awakens,"$2,069,521,700","$936,662,225",45.3%,"$1,132,859,475",54.7%,2015,Oscar Isaac,/wiki/Oscar_Isaac,False,0.46153846153846156
tt2488496,4,Star Wars: Episode VII - The Force Awakens,"$2,069,521,700","$936,662,225",45.3%,"$1,132,859,475",54.7%,2015,Lupita Nyong'o,/wiki/Lupita_Nyong%27o,['https://en.wikipedia.org/wiki/Peter_Anyang%27_Nyong%27o'],0.46153846153846156
tt2488496,4,Star Wars: Episode VII - The Force Awakens,"$2,069,521,700","$936,662,225",45.3%,"$1,132,859,475",54.7%,2015,Andy Serkis,/wiki/Andy_Serkis,False,0.46153846153846156
tt2488496,4,Star Wars: Episode VII - The Force Awakens,"$2,069,521,700","$936,662,225",45.3%,"$1,132,859,475",54.7%,2015,Domhnall Gleeson,/wiki/Domhnall_Gleeson,['https://en.wikipedia.org/wiki/Brendan_Gleeson'],0.46153846153846156
tt2488496,4,Star Wars: Episode VII - The Force Awakens,"$2,069,521,700","$936,662,225",45.3%,"$1,132,859,475",54.7%,2015,Anthony Daniels,/wiki/Anthony_Daniels,False,0.46153846153846156
tt2488496,4,Star Wars: Episode VII - The Force Awakens,"$2,069,521,700","$936,662,225",45.3%,"$1,132,859,475",54.7%,2015,Peter Mayhew,/wiki/Peter_Mayhew,False,0.46153846153846156
tt2488496,4,Star Wars: Episode VII - The Force Awakens,"$2,069,521,700","$936,662,225",45.3%,"$1,132,859,475",54.7%,2015,Max von Sydow,/wiki/Max_von_Sydow,['https://en.wikipedia.org/wiki/Carl_Wilhelm_von_Sydow'],0.46153846153846156
tt4154756,5,Avengers: Infinity War,"$2,048,359,754","$678,815,482",33.1%,"$1,369,544,272",66.9%,2018,Robert Downey Jr.,/wiki/Robert_Downey_Jr.,['https://en.wikipedia.org/wiki/Robert_Downey_Sr.'],0.3684210526315789
tt4154756,5,Avengers: Infinity War,"$2,048,359,754","$678,815,482",33.1%,"$1,369,544,272",66.9%,2018,Chris Hemsworth,/wiki/Chris_Hemsworth,['https://en.wikipedia.org/wiki/Joanne_van_Os'],0.3684210526315789
tt4154756,5,Avengers: Infinity War,"$2,048,359,754","$678,815,482",33.1%,"$1,369,544,272",66.9%,2018,Mark Ruffalo,/wiki/Mark_Ruffalo,False,0.3684210526315789
tt4154756,5,Avengers: Infinity War,"$2,048,359,754","$678,815,482",33.1%,"$1,369,544,272",66.9%,2018,Chris Evans,/wiki/Chris_Evans_(actor),['https://en.wikipedia.org/wiki/Mike_Capuano'],0.3684210526315789
tt4154756,5,Avengers: Infinity War,"$2,048,359,754","$678,815,482",33.1%,"$1,369,544,272",66.9%,2018,Scarlett Johansson,/wiki/Scarlett_Johansson,False,0.3684210526315789
tt4154756,5,Avengers: Infinity War,"$2,048,359,754","$678,815,482",33.1%,"$1,369,544,272",66.9%,2018,Benedict Cumberbatch,/wiki/Benedict_Cumberbatch,"['https://en.wikipedia.org/wiki/Timothy_Carlton', 'https://en.wikipedia.org/wiki/Wanda_Ventham']",0.3684210526315789
tt4154756,5,Avengers: Infinity War,"$2,048,359,754","$678,815,482",33.1%,"$1,369,544,272",66.9%,2018,Don Cheadle,/wiki/Don_Cheadle,False,0.3684210526315789
tt4154756,5,Avengers: Infinity War,"$2,048,359,754","$678,815,482",33.1%,"$1,369,544,272",66.9%,2018,Tom Holland,/wiki/Tom_Holland,['https://en.wikipedia.org/wiki/Dominic_Holland'],0.3684210526315789
tt4154756,5,Avengers: Infinity War,"$2,048,359,754","$678,815,482",33.1%,"$1,369,544,272",66.9%,2018,Chadwick Boseman,/wiki/Chadwick_Boseman,False,0.3684210526315789
