id,title,year,cast,nepos,pct_nepo,type
tt0114369,Se7en,1995,Gwyneth Paltrow,"['https://en.wikipedia.org/wiki/Bruce_Paltrow', 'https://en.wikipedia.org/wiki/Blythe_Danner']",11.11111111111111,film
tt0047478,Seven Samurai,1954,Daisuke Katô,"['https://en.wikipedia.org/wiki/Kunitaro_Sawamura', 'https://en.wikipedia.org/wiki/Sadako_Sawamura']",5.555555555555555,film
tt0038650,It's a Wonderful Life,1946,Lionel Barrymore,"['https://en.wikipedia.org/wiki/Maurice_Barrymore', 'https://en.wikipedia.org/wiki/Georgiana_Drew']",16.666666666666664,film
tt0038650,It's a Wonderful Life,1946,H.B. Warner,['https://en.wikipedia.org/wiki/Charles_Warner'],16.666666666666664,film
tt0038650,It's a Wonderful Life,1946,Todd Karns,['https://en.wikipedia.org/wiki/Roscoe_Karns'],16.666666666666664,film
tt0102926,The Silence of the Lambs,1991,Jodie Foster,['https://en.wikipedia.org/wiki/Buddy_Foster'],5.555555555555555,film
tt0317248,City of God,2002,Jonathan Haagensen,['https://en.wikipedia.org/wiki/Phellipe_Haagensen'],11.11111111111111,film
tt0317248,City of God,2002,Alice Braga,['https://en.wikipedia.org/wiki/S%C3%B4nia_Braga'],11.11111111111111,film
tt0120815,Saving Private Ryan,1998,Tom Hanks,"['https://en.wikipedia.org/wiki/Jim_Hanks', 'https://en.wikipedia.org/wiki/Larry_Hanks']",33.33333333333333,film
tt0120815,Saving Private Ryan,1998,Giovanni Ribisi,['https://en.wikipedia.org/wiki/Marissa_Ribisi'],33.33333333333333,film
tt0120815,Saving Private Ryan,1998,Jeremy Davies,['https://en.wikipedia.org/wiki/Mel_Boring'],33.33333333333333,film
tt0120815,Saving Private Ryan,1998,Paul Giamatti,['https://en.wikipedia.org/wiki/A._Bartlett_Giamatti'],33.33333333333333,film
tt0120815,Saving Private Ryan,1998,Max Martini,['https://en.wikipedia.org/wiki/Stuart_Margolin'],33.33333333333333,film
tt0120815,Saving Private Ryan,1998,Dylan Bruno,['https://en.wikipedia.org/wiki/Chris_Bruno'],33.33333333333333,film
tt0120689,The Green Mile,1999,Tom Hanks,"['https://en.wikipedia.org/wiki/Jim_Hanks', 'https://en.wikipedia.org/wiki/Larry_Hanks']",16.666666666666664,film
tt0120689,The Green Mile,1999,James Cromwell,"['https://en.wikipedia.org/wiki/John_Cromwell_(director)', 'https://en.wikipedia.org/wiki/Kay_Johnson']",16.666666666666664,film
tt0120689,The Green Mile,1999,Patricia Clarkson,['https://en.wikipedia.org/wiki/Jackie_Clarkson'],16.666666666666664,film
tt0816692,Interstellar,2014,Timothée Chalamet,"['https://en.wikipedia.org/wiki/Pauline_Chalamet', 'https://en.wikipedia.org/wiki/Rodman_Flender', 'https://en.wikipedia.org/wiki/Amy_Lippman']",16.666666666666664,film
tt0816692,Interstellar,2014,Michael Caine,['https://en.wikipedia.org/wiki/Stanley_Caine'],16.666666666666664,film
tt0816692,Interstellar,2014,Casey Affleck,['https://en.wikipedia.org/wiki/Ben_Affleck'],16.666666666666664,film
tt0076759,Star Wars,1977,Carrie Fisher,"['https://en.wikipedia.org/wiki/Eddie_Fisher_(singer)', 'https://en.wikipedia.org/wiki/Debbie_Reynolds']",11.11111111111111,film
tt0076759,Star Wars,1977,Shelagh Fraser,['https://en.wikipedia.org/wiki/Moyra_Fraser'],11.11111111111111,film
tt0103064,Terminator 2: Judgment Day,1991,Robert Patrick,['https://en.wikipedia.org/wiki/Richard_Patrick'],5.555555555555555,film
tt0088763,Back to the Future,1985,Christopher Lloyd,['https://en.wikipedia.org/wiki/Lewis_Henry_Lapham'],16.666666666666664,film
tt0088763,Back to the Future,1985,Crispin Glover,['https://en.wikipedia.org/wiki/Bruce_Glover'],16.666666666666664,film
tt0088763,Back to the Future,1985,Casey Siemaszko,['https://en.wikipedia.org/wiki/Nina_Siemaszko'],16.666666666666664,film
tt0245429,Spirited Away,2001,Suzanne Pleshette,['https://en.wikipedia.org/wiki/John_Pleshette'],5.555555555555555,film
tt0054215,Psycho,1960,Anthony Perkins,['https://en.wikipedia.org/wiki/Osgood_Perkins'],16.666666666666664,film
tt0054215,Psycho,1960,Patricia Hitchcock,"['https://en.wikipedia.org/wiki/Alfred_Hitchcock', 'https://en.wikipedia.org/wiki/Alma_Reville']",16.666666666666664,film
tt0054215,Psycho,1960,Mort Mills,['https://en.wikipedia.org/wiki/Mary_Treen'],16.666666666666664,film
tt0253474,The Pianist,2002,Adrien Brody,['https://en.wikipedia.org/wiki/Sylvia_Plachy'],16.666666666666664,film
tt0253474,The Pianist,2002,Emilia Fox,"['https://en.wikipedia.org/wiki/Edward_Fox_(actor)', 'https://en.wikipedia.org/wiki/Joanna_David']",16.666666666666664,film
tt0253474,The Pianist,2002,Ed Stoppard,"['https://en.wikipedia.org/wiki/Tom_Stoppard', 'https://en.wikipedia.org/wiki/Miriam_Stoppard']",16.666666666666664,film
tt0110413,Léon: The Professional,1994,Gary Oldman,['https://en.wikipedia.org/wiki/Laila_Morse'],16.666666666666664,film
tt0110413,Léon: The Professional,1994,Michael Badalucco,['https://en.wikipedia.org/wiki/Joseph_Badalucco_Jr.'],16.666666666666664,film
tt0110413,Léon: The Professional,1994,Maïwenn,['https://en.wikipedia.org/wiki/Catherine_Belkhodja'],16.666666666666664,film
tt0110357,The Lion King,1994,Matthew Broderick,"['https://en.wikipedia.org/wiki/James_Broderick', 'https://en.wikipedia.org/wiki/Patricia_Broderick']",16.666666666666664,film
tt0110357,The Lion King,1994,James Earl Jones,['https://en.wikipedia.org/wiki/Robert_Earl_Jones'],16.666666666666664,film
tt0110357,The Lion King,1994,Jonathan Taylor Thomas,['https://en.wikipedia.org/wiki/Jeff_Weiss'],16.666666666666664,film
tt0172495,Gladiator,2000,Russell Crowe,"['https://en.wikipedia.org/wiki/Dave_Crowe', 'https://en.wikipedia.org/wiki/Jeff_Crowe', 'https://en.wikipedia.org/wiki/Martin_Crowe']",27.77777777777778,film
tt0172495,Gladiator,2000,Joaquin Phoenix,['https://en.wikipedia.org/wiki/Arlyn_Phoenix'],27.77777777777778,film
tt0172495,Gladiator,2000,Oliver Reed,"['https://en.wikipedia.org/wiki/Herbert_Beerbohm_Tree', 'https://en.wikipedia.org/wiki/Carol_Reed']",27.77777777777778,film
tt0172495,Gladiator,2000,John Shrapnel,['https://en.wikipedia.org/wiki/Norman_Shrapnel'],27.77777777777778,film
tt0172495,Gladiator,2000,Spencer Treat Clark,['https://en.wikipedia.org/wiki/Eliza_Clark_(American_writer)'],27.77777777777778,film
tt0120586,American History X,1998,Edward Norton,['https://en.wikipedia.org/wiki/James_Rouse'],16.666666666666664,film
tt0120586,American History X,1998,Beverly D'Angelo,['https://en.wikipedia.org/wiki/Howard_Dwight_Smith'],16.666666666666664,film
tt0120586,American History X,1998,Stacy Keach,['https://en.wikipedia.org/wiki/Stacy_Keach_Sr.'],16.666666666666664,film
tt0407887,The Departed,2006,Leonardo DiCaprio,['https://en.wikipedia.org/wiki/George_DiCaprio'],33.33333333333333,film
tt0407887,The Departed,2006,Mark Wahlberg,"['https://en.wikipedia.org/wiki/Donnie_Wahlberg', 'https://en.wikipedia.org/wiki/Jim_Wahlberg', 'https://en.wikipedia.org/wiki/Robert_Wahlberg', 'https://en.wikipedia.org/wiki/Paul_Wahlberg']",33.33333333333333,film
tt0407887,The Departed,2006,Martin Sheen,['https://en.wikipedia.org/wiki/Joe_Estevez'],33.33333333333333,film
tt0407887,The Departed,2006,Vera Farmiga,"['https://en.wikipedia.org/wiki/Taissa_Farmiga', 'https://en.wikipedia.org/wiki/Adriana_Farmiga']",33.33333333333333,film
tt0407887,The Departed,2006,James Badge Dale,"['https://en.wikipedia.org/wiki/Grover_Dale', 'https://en.wikipedia.org/wiki/Anita_Morris']",33.33333333333333,film
tt0407887,The Departed,2006,Robert Wahlberg,"['https://en.wikipedia.org/wiki/Donnie_Wahlberg', 'https://en.wikipedia.org/wiki/Mark_Wahlberg', 'https://en.wikipedia.org/wiki/Jim_Wahlberg', 'https://en.wikipedia.org/wiki/Paul_Wahlberg']",33.33333333333333,film
tt0482571,The Prestige,2006,Christian Bale,['https://en.wikipedia.org/wiki/David_Bale'],16.666666666666664,film
tt0482571,The Prestige,2006,Michael Caine,['https://en.wikipedia.org/wiki/Stanley_Caine'],16.666666666666664,film
tt0482571,The Prestige,2006,Rebecca Hall,"['https://en.wikipedia.org/wiki/Peter_Hall_(director)', 'https://en.wikipedia.org/wiki/Maria_Ewing']",16.666666666666664,film
tt0034583,Casablanca,1942,Humphrey Bogart,['https://en.wikipedia.org/wiki/Maud_Humphrey'],16.666666666666664,film
tt0034583,Casablanca,1942,Claude Rains,['https://en.wikipedia.org/wiki/Fred_Rains'],16.666666666666664,film
tt0034583,Casablanca,1942,Joy Page,['https://en.wikipedia.org/wiki/Don_Alvarado'],16.666666666666664,film
tt2582802,Whiplash,2014,Paul Reiser,"['https://en.wikipedia.org/wiki/Will_Reiser', 'https://en.wikipedia.org/wiki/Richard_Epstein']",16.666666666666664,film
tt2582802,Whiplash,2014,Max Kasch,['https://en.wikipedia.org/wiki/Cody_Kasch'],16.666666666666664,film
tt2582802,Whiplash,2014,Kofi Siriboe,['https://en.wikipedia.org/wiki/Kwesi_Boakye'],16.666666666666664,film
tt0056058,Harakiri,1962,Tetsurô Tanba,['https://en.wikipedia.org/wiki/Yoshitaka_Tamba'],5.555555555555555,film
tt0027977,Modern Times,1936,Charles Chaplin,"['https://en.wikipedia.org/wiki/Charles_Chaplin_Sr.', 'https://en.wikipedia.org/wiki/Hannah_Chaplin']",11.11111111111111,film
tt0027977,Modern Times,1936,Murdock MacQuarrie,"['https://en.wikipedia.org/wiki/Albert_MacQuarrie', 'https://en.wikipedia.org/wiki/Frank_MacQuarrie', 'https://en.wikipedia.org/wiki/George_MacQuarrie']",11.11111111111111,film
tt0064116,Once Upon a Time in the West,1968,Jason Robards,['https://en.wikipedia.org/wiki/Jason_Robards_Sr.'],11.11111111111111,film
tt0064116,Once Upon a Time in the West,1968,Keenan Wynn,"['https://en.wikipedia.org/wiki/Ed_Wynn', 'https://en.wikipedia.org/wiki/Hilda_Keenan']",11.11111111111111,film
tt1745960,Top Gun: Maverick,2022,Tom Cruise,['https://en.wikipedia.org/wiki/William_Mapother'],11.11111111111111,film
tt1745960,Top Gun: Maverick,2022,Lewis Pullman,['https://en.wikipedia.org/wiki/Bill_Pullman'],11.11111111111111,film
tt0047396,Rear Window,1954,Ross Bagdasarian,['https://en.wikipedia.org/wiki/William_Saroyan'],5.555555555555555,film
tt0078748,Alien,1979,Sigourney Weaver,"['https://en.wikipedia.org/wiki/Pat_Weaver', 'https://en.wikipedia.org/wiki/Elizabeth_Inglis']",20.0,film
tt0078748,Alien,1979,Veronica Cartwright,['https://en.wikipedia.org/wiki/Angela_Cartwright'],20.0,film
tt0021749,City Lights,1931,Charles Chaplin,"['https://en.wikipedia.org/wiki/Charles_Chaplin_Sr.', 'https://en.wikipedia.org/wiki/Hannah_Chaplin']",5.555555555555555,film
tt0078788,Apocalypse Now,1979,Martin Sheen,['https://en.wikipedia.org/wiki/Joe_Estevez'],16.666666666666664,film
tt0078788,Apocalypse Now,1979,Marlon Brando,"['https://en.wikipedia.org/wiki/Jocelyn_Brando', 'https://en.wikipedia.org/wiki/D.A._Pennebaker']",16.666666666666664,film
tt0078788,Apocalypse Now,1979,Sam Bottoms,"['https://en.wikipedia.org/wiki/Timothy_Bottoms', 'https://en.wikipedia.org/wiki/Joseph_Bottoms']",16.666666666666664,film
tt1853728,Django Unchained,2012,Leonardo DiCaprio,['https://en.wikipedia.org/wiki/George_DiCaprio'],5.555555555555555,film
tt0910970,WALL·E,2008,Sigourney Weaver,"['https://en.wikipedia.org/wiki/Pat_Weaver', 'https://en.wikipedia.org/wiki/Elizabeth_Inglis']",5.555555555555555,film
tt0043014,Sunset Blvd.,1950,Cecil B. DeMille,"['https://en.wikipedia.org/wiki/Henry_Churchill_de_Mille', 'https://en.wikipedia.org/wiki/Matilda_Beatrice_deMille']",16.666666666666664,film
tt0043014,Sunset Blvd.,1950,Buster Keaton,"['https://en.wikipedia.org/wiki/Joe_Keaton', 'https://en.wikipedia.org/wiki/Myra_Keaton']",16.666666666666664,film
tt0043014,Sunset Blvd.,1950,H.B. Warner,['https://en.wikipedia.org/wiki/Charles_Warner'],16.666666666666664,film
tt0050825,Paths of Glory,1957,Christiane Kubrick,"['https://en.wikipedia.org/wiki/Jan_Harlan', 'https://en.wikipedia.org/wiki/Veit_Harlan']",5.555555555555555,film
tt0032553,The Great Dictator,1940,Charles Chaplin,"['https://en.wikipedia.org/wiki/Charles_Chaplin_Sr.', 'https://en.wikipedia.org/wiki/Hannah_Chaplin']",11.11111111111111,film
tt0032553,The Great Dictator,1940,Eddie Gribbon,['https://en.wikipedia.org/wiki/Harry_Gribbon'],11.11111111111111,film
tt0051201,Witness for the Prosecution,1957,Tyrone Power,['https://en.wikipedia.org/wiki/Tyrone_Power_Sr.'],16.666666666666664,film
tt0051201,Witness for the Prosecution,1957,Elsa Lanchester,['https://en.wikipedia.org/wiki/Edith_Lanchester'],16.666666666666664,film
tt0051201,Witness for the Prosecution,1957,John Williams,['https://en.wikipedia.org/wiki/Johnny_Williams_(drummer)'],16.666666666666664,film
tt4154756,Avengers: Infinity War,2018,Robert Downey Jr.,['https://en.wikipedia.org/wiki/Robert_Downey_Sr.'],44.44444444444444,film
tt4154756,Avengers: Infinity War,2018,Chris Hemsworth,"['https://en.wikipedia.org/wiki/Luke_Hemsworth', 'https://en.wikipedia.org/wiki/Liam_Hemsworth', 'https://en.wikipedia.org/wiki/Joanne_van_Os']",44.44444444444444,film
tt4154756,Avengers: Infinity War,2018,Benedict Cumberbatch,"['https://en.wikipedia.org/wiki/Timothy_Carlton', 'https://en.wikipedia.org/wiki/Wanda_Ventham']",44.44444444444444,film
tt4154756,Avengers: Infinity War,2018,Tom Holland,['https://en.wikipedia.org/wiki/Dominic_Holland'],44.44444444444444,film
tt4154756,Avengers: Infinity War,2018,Karen Gillan,['https://en.wikipedia.org/wiki/Caitlin_Blackwood'],44.44444444444444,film
tt4154756,Avengers: Infinity War,2018,Paul Bettany,['https://en.wikipedia.org/wiki/Thane_Bettany'],44.44444444444444,film
tt4154756,Avengers: Infinity War,2018,Elizabeth Olsen,"['https://en.wikipedia.org/wiki/Mary-Kate_Olsen', 'https://en.wikipedia.org/wiki/Ashley_Olsen']",44.44444444444444,film
