,year,attendee,source,nepo
51,2021,Michaela Coel,https://www.vogue.com/slideshow/met-gala-2021-red-carpet-live-celebrity-fashion,False
52,2021,Cara Delevingne,https://www.vogue.com/slideshow/met-gala-2021-red-carpet-live-celebrity-fashion,"['https://en.wikipedia.org/wiki/Charles_Delevingne', 'https://en.wikipedia.org/wiki/Poppy_Delevingne']"
53,2021,CL (rapper),https://www.vogue.com/slideshow/met-gala-2021-red-carpet-live-celebrity-fashion,False
54,2021,Kristen Stewart,https://www.vogue.com/slideshow/met-gala-2021-red-carpet-live-celebrity-fashion,False
55,2021,Lili Reinhart,https://www.vogue.com/slideshow/met-gala-2021-red-carpet-live-celebrity-fashion,False
56,2021,Kate Hudson,https://www.vogue.com/slideshow/met-gala-2021-red-carpet-live-celebrity-fashion,"['https://en.wikipedia.org/wiki/Bill_Hudson_(singer)', 'https://en.wikipedia.org/wiki/Goldie_Hawn']"
57,2021,Anja Rubik,https://www.vogue.com/slideshow/met-gala-2021-red-carpet-live-celebrity-fashion,False
58,2021,Venus Williams,https://www.vogue.com/slideshow/met-gala-2021-red-carpet-live-celebrity-fashion,False
59,2021,Ariana DeBose,https://www.vogue.com/slideshow/met-gala-2021-red-carpet-live-celebrity-fashion,False
60,2021,Kendall Jenner,https://www.vogue.com/slideshow/met-gala-2021-red-carpet-live-celebrity-fashion,"['https://en.wikipedia.org/wiki/Caitlyn_Jenner', 'https://en.wikipedia.org/wiki/Kris_Jenner']"
61,2021,Gigi Hadid,https://www.vogue.com/slideshow/met-gala-2021-red-carpet-live-celebrity-fashion,"['https://en.wikipedia.org/wiki/Mohamed_Hadid', 'https://en.wikipedia.org/wiki/Yolanda_Hadid']"
62,2021,Shawn Mendes,https://www.vogue.com/slideshow/met-gala-2021-red-carpet-live-celebrity-fashion,False
63,2021,Camila Cabello,https://www.vogue.com/slideshow/met-gala-2021-red-carpet-live-celebrity-fashion,False
64,2021,Winnie Harlow,https://www.vogue.com/slideshow/met-gala-2021-red-carpet-live-celebrity-fashion,False
65,2021,Sharon Stone,https://www.vogue.com/slideshow/met-gala-2021-red-carpet-live-celebrity-fashion,False
66,2021,Simone Biles,https://www.vogue.com/slideshow/met-gala-2021-red-carpet-live-celebrity-fashion,False
67,2021,Kim Kardashion,https://www.vogue.com/slideshow/met-gala-2021-red-carpet-live-celebrity-fashion,False
68,2021,Erykah Badu,https://www.vogue.com/slideshow/met-gala-2021-red-carpet-live-celebrity-fashion,False
69,2021,Sienna Miller,https://www.vogue.com/slideshow/met-gala-2021-red-carpet-live-celebrity-fashion,"['https://en.wikipedia.org/wiki/Savannah_Miller', 'https://en.wikipedia.org/wiki/Becki_Newton', 'https://en.wikipedia.org/wiki/Matt_Newton']"
70,2021,Hamish Bowles,https://www.vogue.com/slideshow/met-gala-2021-red-carpet-live-celebrity-fashion,False
71,2021,Emily Blunt,https://www.vogue.com/slideshow/met-gala-2021-red-carpet-live-celebrity-fashion,"['https://en.wikipedia.org/wiki/Peter_Blunt', 'https://en.wikipedia.org/wiki/Crispin_Blunt', 'https://en.wikipedia.org/wiki/Stanley_Tucci']"
72,2021,Tory Burch,https://www.vogue.com/slideshow/met-gala-2021-red-carpet-live-celebrity-fashion,False
73,2021,Lil Baby,https://www.vogue.com/slideshow/met-gala-2021-red-carpet-live-celebrity-fashion,False
74,2021,Frank Ocean,https://www.vogue.com/slideshow/met-gala-2021-red-carpet-live-celebrity-fashion,False
75,2021,Kacey Musgraves,https://www.vogue.com/slideshow/met-gala-2021-red-carpet-live-celebrity-fashion,False
76,2021,Olivia Rodrigo,https://www.vogue.com/slideshow/met-gala-2021-red-carpet-live-celebrity-fashion,False
77,2021,Teyana Taylor,https://www.vogue.com/slideshow/met-gala-2021-red-carpet-live-celebrity-fashion,False
78,2021,Justin Bieber,https://www.vogue.com/slideshow/met-gala-2021-red-carpet-live-celebrity-fashion,['https://en.wikipedia.org/wiki/Pattie_Mallette']
79,2021,Hailey Bieber,https://www.vogue.com/slideshow/met-gala-2021-red-carpet-live-celebrity-fashion,['https://en.wikipedia.org/wiki/Stephen_Baldwin']
80,2021,Lourdes Leon,https://www.vogue.com/slideshow/met-gala-2021-red-carpet-live-celebrity-fashion,['https://en.wikipedia.org/wiki/Christopher_Ciccone']
81,2021,Will Welch,https://www.vogue.com/slideshow/met-gala-2021-red-carpet-live-celebrity-fashion,False
82,2021,Jennifer Lopez,https://www.vogue.com/slideshow/met-gala-2021-red-carpet-live-celebrity-fashion,['https://en.wikipedia.org/wiki/Lynda_Lopez']
83,2021,Alicia Keys,https://www.vogue.com/slideshow/met-gala-2021-red-carpet-live-celebrity-fashion,False
84,2021,Swizz Beatz,https://www.vogue.com/slideshow/met-gala-2021-red-carpet-live-celebrity-fashion,False
85,2021,Audra McDonald,https://www.vogue.com/slideshow/met-gala-2021-red-carpet-live-celebrity-fashion,False
86,2021,Diane Kruger,https://www.vogue.com/slideshow/met-gala-2021-red-carpet-live-celebrity-fashion,False
87,2021,Lupita Nyong'o,https://www.vogue.com/slideshow/met-gala-2021-red-carpet-live-celebrity-fashion,['https://en.wikipedia.org/wiki/Peter_Anyang%27_Nyong%27o']
88,2021,Taika Waititi,https://www.vogue.com/slideshow/met-gala-2021-red-carpet-live-celebrity-fashion,False
89,2021,Rita Ora,https://www.vogue.com/slideshow/met-gala-2021-red-carpet-live-celebrity-fashion,['https://en.wikipedia.org/wiki/Besim_Sahat%C3%A7iu']
90,2021,Symone,https://www.vogue.com/slideshow/met-gala-2021-red-carpet-live-celebrity-fashion,False
