,title,cast,nepos,pct_nepo
94,The Old Man,Alia Shawkat,['https://en.wikipedia.org/wiki/Paul_Burke_(actor)'],27.77777777777778
95,The Old Man,Pej Vahdat,True,27.77777777777778
96,The Old Man,Gbenga Akinnagbe,['https://en.wikipedia.org/wiki/Wale_(rapper)'],27.77777777777778
97,The Old Man,Leem Lubany,True,27.77777777777778
98,The Old Man,Amy Brenneman,True,27.77777777777778
99,The Old Man,Hiam Abbass,True,27.77777777777778
100,The Old Man,Noor Razooky,True,27.77777777777778
101,The Old Man,Kenneth Mitchell,True,27.77777777777778
102,The Old Man,Echo Kellum,True,27.77777777777778
103,The Old Man,Milo Stein,True,27.77777777777778
104,The Old Man,Andrew Perez,True,27.77777777777778
105,The Old Man,Jessica Harper,['https://en.wikipedia.org/wiki/John_Rothman'],27.77777777777778
106,The Old Man,Tai Bennett,True,27.77777777777778
107,The Old Man,Jordan Bridges,['https://en.wikipedia.org/wiki/Beau_Bridges'],27.77777777777778
108,Only Murders in the Building,Steve Martin,True,
109,Only Murders in the Building,Martin Short,True,
110,Only Murders in the Building,Selena Gomez,True,
111,Only Murders in the Building,Amy Ryan,True,
112,Only Murders in the Building,Aaron Dominguez,True,
113,Only Murders in the Building,Jackie Hoffman,True,
114,Only Murders in the Building,Teddy Coluca,True,
115,Only Murders in the Building,Jayne Houdyshell,True,
116,Only Murders in the Building,Michael Cyril Creighton,True,
117,Only Murders in the Building,Vanessa Aspillaga,True,
118,Only Murders in the Building,Ryan Broussard,True,
119,Only Murders in the Building,Russell G. Jones,True,
120,Only Murders in the Building,James Caverly,True,
121,Only Murders in the Building,Julian Cihi,True,
122,Only Murders in the Building,Tina Fey,True,
123,Only Murders in the Building,Nathan Lane,True,
124,Only Murders in the Building,Da'Vine Joy Randolph,True,
125,Only Murders in the Building,Adina Verson,True,
126,Ms. Marvel,Iman Vellani,True,11.11111111111111
127,Ms. Marvel,Matt Lintz,"['https://en.wikipedia.org/wiki/Mackenzie_Lintz', 'https://en.wikipedia.org/wiki/Madison_Lintz']",11.11111111111111
128,Ms. Marvel,Zenobia Shroff,True,11.11111111111111
129,Ms. Marvel,Yasmeen Fletcher,True,11.11111111111111
130,Ms. Marvel,Rish Shah,True,11.11111111111111
131,Ms. Marvel,Mohan Kapur,True,11.11111111111111
132,Ms. Marvel,Samina Ahmed,True,11.11111111111111
